"Chateau Margaux, Margaux, France",1900,4th,100/100,"$18,532 "
"Chateau Pavie, Saint-Emilion Grand Cru, France",2015,40th,100/100,$389 
"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain",1958,51st,100/100,"$1,306 "
"Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut, Champagne, France",1964,56th,100/100,"$4,927 "
"Chateau Lafleur, Pomerol, France",2018,79th,100/100,"$1,412 "
"Domaine de Montille Les Malconsorts Cuvee Christiane, Vosne-Romanee Premier Cru, France",2005,"1,830th",100/100,"$1,458 "
"Oremus Eszencia, Tokaj-Hegyalja, Hungary",1995,"5,702nd",100/100,$756 
"Weingut Donnhoff Niederhauser Hermannshohle Riesling Trockenbeerenauslese, Nahe, Germany",2010,"24,146th",100/100,"$1,006 "
"Seven of Hearts 'Curmudgeon Cuvee' Armstrong Vineyard Pinot Noir, Ribbon Ridge, USA",2012,"30,155th",100/100,$59 
"Joh. Jos. Prum Bernkasteler Johannisbrunnchen Riesling Eiswein, Mosel, Germany",1990,"76,623rd",100/100,$938 
"Chateau Margaux, Margaux, France",2015,4th,99/100,"$1,772 "
"Chateau Haut-Brion, Pessac-Leognan, France",2016,9th,99/100,$752 
"Chateau Haut-Brion, Pessac-Leognan, France",2015,9th,99/100,$671 
"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France",2016,22nd,99/100,$331 
"Chateau Lafleur, Pomerol, France",2017,79th,99/100,$917 
"Chateau Lafleur, Pomerol, France",2016,79th,99/100,"$1,314 "
"Chateau Lafleur, Pomerol, France",1947,79th,99/100,"$2,562 "
"Chateau Ausone, Saint-Emilion Grand Cru, France",2015,84th,99/100,$981 
"Paul Jaboulet Aine Hermitage La Chapelle, Rhone, France",1961,88th,99/100,"$19,111 "
"Chateau L'Eglise-Clinet, Pomerol, France",2015,154th,99/100,$300 
"Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France",2009,257th,99/100,"$6,636 "
"Fonseca Vintage Port, Portugal",1948,258th,99/100,"$1,564 "
"Pol Roger Vintage Brut, Champagne, France",1959,292nd,99/100,$913 
"Quinta do Noval Vintage Port, Portugal",1931,375th,99/100,"$5,150 "
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2013,839th,99/100,$673 
"Domaine Marc Sorrel Hermitage Le Greal, Rhone, France",2017,"1,427th",99/100,$297 
"MacDonald Vineyards Cabernet Sauvignon, Oakville, USA",2016,"1,684th",99/100,$525 
"Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum, Rhone, France",2010,"3,086th",99/100,$645 
"Penfolds Bin 60A Coonawarra Cabernet Sauvignon - Barossa Shiraz, South Australia",1962,"3,506th",99/100,"$8,679 "
"A.R. Valdespino Toneles Moscatel Sherry, Andalucia, Spain",,"6,958th",99/100,$354 
