winename,region,country,vintage,searchrank,rating_100,price
Chateau Margaux,Margaux,France,1900,4,100,18532
Chateau Pavie,Saint-Emilion Grand Cru,France,2015,40,100,389
Vega Sicilia Unico Gran Reserva,Ribera del Duero,Spain,1958,51,100,1306
Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut,Champagne,France,1964,56,100,4927
Chateau Lafleur,Pomerol,France,2018,79,100,1412
Domaine de Montille Les Malconsorts Cuvee Christiane,Vosne-Romanee Premier Cru,France,2005,1830,100,1458
Oremus Eszencia,Tokaj-Hegyalja,Hungary,1995,5702,100,756
Weingut Donnhoff Niederhauser Hermannshohle Riesling Trockenbeerenauslese,Nahe,Germany,2010,24146,100,1006
Seven of Hearts 'Curmudgeon Cuvee' Armstrong Vineyard Pinot Noir,Ribbon Ridge,USA,2012,30155,100,59
Joh. Jos. Prum Bernkasteler Johannisbrunnchen Riesling Eiswein,Mosel,Germany,1990,76623,100,938
Chateau Margaux,Margaux,France,2015,4,99,1772
Chateau Haut-Brion,Pessac-Leognan,France,2016,9,99,752
Chateau Haut-Brion,Pessac-Leognan,France,2015,9,99,671
Chateau Leoville-Las Cases 'Grand Vin de Leoville',Saint-Julien,France,2016,22,99,331
Chateau Lafleur,Pomerol,France,2017,79,99,917
Chateau Lafleur,Pomerol,France,2016,79,99,1314
Chateau Lafleur,Pomerol,France,1947,79,99,2562
Chateau Ausone,Saint-Emilion Grand Cru,France,2015,84,99,981
Paul Jaboulet Aine Hermitage La Chapelle,Rhone,France,1961,88,99,19111
Chateau L'Eglise-Clinet,Pomerol,France,2015,154,99,300
Domaine du Comte Liger-Belair La Romanee Grand Cru,Cote de Nuits,France,2009,257,99,6636
Fonseca Vintage Port,NA,Portugal,1948,258,99,1564
Pol Roger Vintage Brut,Champagne,France,1959,292,99,913
Quinta do Noval Vintage Port,NA,Portugal,1931,375,99,5150
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2013,839,99,673
Domaine Marc Sorrel Hermitage Le Greal,Rhone,France,2017,1427,99,297
MacDonald Vineyards Cabernet Sauvignon,Oakville,USA,2016,1684,99,525
Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum,Rhone,France,2010,3086,99,645
Penfolds Bin 60A Coonawarra Cabernet Sauvignon - Barossa Shiraz,NA,South Australia,1962,3506,99,8679
A.R. Valdespino Toneles Moscatel Sherry,Andalucia,Spain,NA,6958,99,354
Hors Categorie,Walla Walla Valley,USA,2014,8596,99,417
Carter Cellars Beckstoffer To Kalon Vineyard The G.T.O Cabernet Sauvignon,Napa Valley,USA,2015,8994,99,NA
Carter Cellars 'La Verdad' Beckstoffer Las Piedras Vineyard Cabernet Sauvignon,Napa Valley,USA,2015,16458,99,363
Sine Qua Non 'M' Syrah,Sta Rita Hills,USA,2015,18375,99,508
Smith-Madrone Cook's Flat Reserve,Spring Mountain District,USA,2013,50408,99,219
Chateau Mouton Rothschild,Pauillac,France,2016,2,98,770
Chateau Lafite Rothschild,Pauillac,France,2018,3,98,757
Chateau Margaux,Margaux,France,2009,4,98,1187
Petrus,Pomerol,France,2016,5,98,4394
Petrus,Pomerol,France,1989,5,98,4719
Petrus,Pomerol,France,1962,5,98,4620
Petrus,Pomerol,France,1928,5,98,3140
Chateau Latour,Pauillac,France,2016,6,98,998
Chateau Latour,Pauillac,France,2010,6,98,1665
Chateau Latour,Pauillac,France,2009,6,98,1830
Chateau Haut-Brion,Pessac-Leognan,France,1989,9,98,2380
Chateau Haut-Brion,Pessac-Leognan,France,1929,9,98,3212
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2010,10,98,22174
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2006,10,98,21396
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2002,10,98,20981
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,1990,10,98,26912
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,1978,10,98,19938
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,1971,10,98,17039
Chateau d'Yquem,Sauternes,France,2015,12,98,402
Chateau d'Yquem,Sauternes,France,2001,12,98,682
Chateau d'Yquem,Sauternes,France,1937,12,98,5802
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,2015,15,98,840
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,1929,15,98,3500
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2010,18,98,5243
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2005,18,98,6322
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,1999,18,98,6982
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,1962,18,98,14784
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,1943,18,98,3916
Chateau Montrose,Saint-Estephe,France,2016,21,98,234
Chateau Leoville-Las Cases 'Grand Vin de Leoville',Saint-Julien,France,2018,22,98,272
Chateau Palmer,Margaux,France,2016,24,98,398
Masseto Toscana IGT,Tuscany,Italy,2015,35,98,876
Screaming Eagle Cabernet Sauvignon,Napa Valley,USA,2007,47,98,4164
Vega Sicilia Unico Gran Reserva,Ribera del Duero,Spain,1948,51,98,1049
Chateau Calon-Segur,Saint-Estephe,France,2018,55,98,144
Chateau Calon-Segur,Saint-Estephe,France,1943,55,98,575
Vieux Chateau Certan,Pomerol,France,2010,63,98,352
Chateau Rauzan-Segla,Margaux,France,2018,66,98,135
Chateau Lafleur,Pomerol,France,2012,79,98,567
Chateau Lafleur,Pomerol,France,2000,79,98,1892
Chateau Canon,Saint-Emilion Grand Cru,France,2018,83,98,143
Chateau Ausone,Saint-Emilion Grand Cru,France,2016,84,98,925
